Carpet Area,BHK,House Type,Furnishing,Address,Price
1200 sqft,3,Apartment,Semi-Furnished,Vesu Surat,"₹
1.50 Cr"
2250 sqft,3,Apartment,Unfurnished,VIP Road Surat,"₹
1.51 Cr"
1233 sqft,2,Apartment,Semi-Furnished,"ORCHID Harmony, Palanpur Gam Surat","₹
48 Lac"
1416 sqft,3,Apartment,Unfurnished,"Aagam Siddhi, Vesu Surat","₹
1.51 Cr"
1365 sqft,2,Apartment,Furnished,"Mangalam Heights, Vesu Surat","₹
58 Lac"
2040 sqft,3,Apartment,Furnished,"Sneh Sangini, Adajan Surat","₹
95 Lac"
1311 sqft,2,Apartment,Unfurnished,"Pramukh Amaya, Palanpur Surat","₹
55.7 Lac"
1665 sqft,3,Apartment,Unfurnished,"Vaishnodevi Kingswood, Jahangirabad Surat","₹
53.3 Lac"
2200 sqft,4,Apartment,Unfurnished,"Sangini Arise, Vesu Surat","₹
3.66 Cr"
925 sqft,2,Apartment,Unfurnished,Katar Gam Surat,"₹
22 Lac"
129 sqyrd,3,Apartment,Semi-Furnished,"Vama Apex, Althan Surat","₹
85 Lac"
1800 sqft,3,Villa,Unfurnished,Masma Village Surat,"₹
37 Lac"
3047 sqft,4,Apartment,Unfurnished,"Freedom Tower, Vesu Surat","₹
1.80 Cr"
5900 sqft,5,Apartment,Semi-Furnished,Vesu Canal Road Surat,"₹
4.51 Cr"
1950 sqft,3,Apartment,Semi-Furnished,"Bhakti Victory Shoppers, Pal Surat","₹
85 Lac"
1251 sqft,2,Apartment,Semi-Furnished,"Soham, Pal Gam Surat","₹
51 Lac"
5338 sqft,6,Apartment,Unfurnished,"Avadh Ercole, Vesu Surat","₹
5.72 Cr"
645 sqft,2,Apartment,Unfurnished,"Sai Enclave, Althan Surat","₹
45 Lac"
2800 sqft,5,Apartment,Unfurnished,"Casa Rivera, Pal Surat","₹
3.57 Cr"
750 sqft,2,Apartment,Furnished,Pal Gam Surat,"₹
45 Lac"
2346 sqft,3,N/A,Furnished,"Nakshatra Solitaire, Palanpur Surat","₹
95 Lac"
1900 sqft,3,Apartment,Unfurnished,Dindoli Surat,"₹
53.2 Lac"
750 sqft,2,Apartment,Unfurnished,"Mahaveer Heights, Vesu Surat","₹
59 Lac"
900 sqft,3,Apartment,Unfurnished,"Penttagon, Palanpur Gam Surat","₹
51 Lac"
1180 sqft,3,Apartment,Furnished,"Vaishnodevi Kingsley, Pal Surat","₹
1.45 Cr"
750 sqft,1,Apartment,Unfurnished,Athwa Surat,"₹
24 Lac"
2163 sqft,3,Apartment,Unfurnished,"Shree Bharti Royal Residency, Pal Gam Surat","₹
93.5 Lac"
612 sqft,1,House,Unfurnished,Kosamba Surat,"₹
14 Lac"
1800 sqft,3,Apartment,Unfurnished,"Pratishatha Apartment, Piplod Surat","₹
85 Lac"
1608 sqft,4,Apartment,Unfurnished,"Rajhans Corazo, Vesu Surat","₹
1.92 Cr"
500 sqft,1,Apartment,Semi-Furnished,Trikamnagar 1 Surat,"₹
15 Lac"
1170 sqft,2,Apartment,Semi-Furnished,"Rajhans Platinum, Palanpur Surat","₹
43 Lac"
950 sqft,2,Apartment,Unfurnished,Katargam Surat,"₹
40.5 Lac"
1200 sqft,3,Apartment,Furnished,Piplod Surat,"₹
80 Lac"
780 sqft,2,Apartment,Unfurnished,Sagrampura Surat,"₹
45 Lac"
1291 sqft,2,Apartment,Furnished,City Light Town Surat,"₹
55 Lac"
1820 sqft,3,Apartment,Furnished,Adajan Surat,"₹
70 Lac"
1172 sqft,2,Apartment,Furnished,"Sai Enclave, Althan Surat","₹
55 Lac"
947 sqft,2,N/A,Semi-Furnished,Kamrej Surat,"₹
21 Lac"
950 sqft,3,Apartment,Semi-Furnished,"Sunday Lagoon, Parvat Gam Surat","₹
53.5 Lac"
1021 sqft,2,Apartment,Unfurnished,"Shakuntal Complex, Adajan Surat","₹
40 Lac"
3367 sqft,4,Apartment,Unfurnished,Vesu Canal Road Surat,"₹
2.01 Cr"
671 sqft,1,Apartment,Semi-Furnished,Vadod Gam Surat,"₹
18 Lac"
590 sqft,2,House,Furnished,"Utsav Enclave, Bhestan Surat","₹
35 Lac"
700 sqft,2,House,Unfurnished,Kim Surat,"₹
17.5 Lac"
648 sqft,2,House,Unfurnished,"Gruham Exotica, Olpad Surat","₹
16 Lac"
3550 sqft,4,Apartment,Furnished,"Om Icon, Vesu Surat","₹
2.80 Cr"
950 sqft,2,Apartment,Unfurnished,"Shagun Residency, Jahangir Pura Surat","₹
36 Lac"
1001 sqft,3,Apartment,Unfurnished,"Capital Calisto, Palan Pur Patiya Surat","₹
77 Lac"
2505 sqft,3,Apartment,Semi-Furnished,"Celebrity Green, Vesu Surat","₹
1.65 Cr"
400 sqft,1,Apartment,Semi-Furnished,Ramnagar Surat,"₹
5.5 Lac"
1258 sqft,5,House,Unfurnished,"Mahavir Nagar, Amroli Surat","₹
55 Lac"
800 sqft,1,Apartment,Unfurnished,Bhatar Surat,"₹
27.3 Lac"
399 sqft,1,Apartment,Furnished,Althan Surat,"₹
19 Lac"
2117 sqft,3,Apartment,N/A,"Shreepad Infinia, Pal Gam Surat","₹
1.25 Cr"
2000 sqft,5,Villa,Unfurnished,Bhestan Surat,"₹
65 Lac"
225 sqyrd,3,Villa,Unfurnished,Dindoli Surat,"₹
90 Lac"
1245 sqft,3,Apartment,Furnished,"Rajhans Synfonia, Vesu Surat","₹
2 Cr"
400 sqft,2,Apartment,Semi-Furnished,Sagrampura Surat,"₹
20 Lac"
1525 sqft,3,Apartment,Unfurnished,Dahin Nagar Surat,"₹
42.5 Lac"
1720 sqft,3,Apartment,Unfurnished,"Mahaveer Nagar, New citylight Surat","₹
45 Lac"
1400 sqft,3,Apartment,Furnished,"Vasant Vihar Township, New citylight Surat","₹
70 Lac"
5400 sqft,5,House,Unfurnished,Kim Surat,"₹
5 Cr"
781 sqft,1,Apartment,Furnished,"Orchid Infinity, Palan Pur Patiya Surat","₹
30.2 Lac"
208 sqft,3,House,Furnished,Katargam Surat,"₹
1.40 Cr"
1351 sqft,3,Apartment,N/A,"Shri Bhakti Dharm Township, Jahangirabad Surat","₹
43 Lac"
737 sqft,1,N/A,Semi-Furnished,Katar Gam Surat,"₹
15 Lac"
2000 sqft,4,House,Semi-Furnished,Jahangirabad Surat,"₹
85 Lac"
760 sqft,4,House,Unfurnished,Amroli Surat,"₹
70 Lac"
560 sqft,2,Apartment,Unfurnished,Sagrampura Surat,"₹
26 Lac"
2340 sqft,2,Villa,Furnished,dabhel Surat,"₹
75 Lac"
700 sqft,3,Apartment,Semi-Furnished,"Jahangirabad, Surat Surat","₹
29 Lac"
101 sqyrd,2,Villa,Unfurnished,Katar Gam Surat,"₹
26 Lac"
160 sqm,3,House,Furnished,Kamrej Surat,"₹
75.1 Lac"
1360 sqft,3,Apartment,Furnished,Surat City Surat,"₹
48 Lac"
1200 sqft,2,Apartment,Unfurnished,"Khushi Krish Heights, Adajan Surat","₹
51 Lac"
630 sqft,1,Apartment,Furnished,Nanavat Surat,"₹
20 Lac"
630 sqft,3,House,Furnished,Jahangir Pura Surat,"₹
80 Lac"
799 sqft,2,House,Semi-Furnished,Masma Village Surat,"₹
26.5 Lac"
1205 sqft,2,Apartment,Unfurnished,Althan Surat,"₹
55 Lac"
1283 sqft,2,Apartment,Unfurnished,"Nandini 3, Vesu Surat","₹
57 Lac"
616 sqft,1,House,Semi-Furnished,Pankaj nagar Surat,"₹
30 Lac"
850 sqft,3,Apartment,Semi-Furnished,Pankaj nagar Surat,"₹
41.7 Lac"
