Carpet Area,BHK,House Type,Furnishing,Address,Price
1260 sqft,4,House,Semi-Furnished,Subhanpura Vadodara,"₹
95 Lac"
750 sqft,2,Apartment,Semi-Furnished,"Gorwa Apartments, Gorwa Vadodara","₹
35 Lac"
1000 sqft,3,House,Unfurnished,Gorwa Vadodara,"₹
71 Lac"
1732 sqft,3,Apartment,Unfurnished,"Samanvay Splendid, Sevasi Vadodara","₹
55 Lac"
2250 sqft,3,N/A,N/A,"Kishan Classic, Bhayli Vadodara","₹
72 Lac"
916 sqft,3,Apartment,Furnished,"Earth Allyssum, Bhayli Vadodara","₹
45.5 Lac"
3000 sqft,4,Villa,Furnished,Chanakyapuri Vadodara,"₹
5.90 Cr"
700 sqft,2,Apartment,Semi-Furnished,Parl Weiw Vadodara,"₹
38 Lac"
1150 sqft,3,Apartment,Unfurnished,"Silver Arcade, Akota Vadodara","₹
60 Lac"
789 sqft,3,Apartment,Unfurnished,"Brookfieldz Devbhumi Residency, Manjalpur Vadodara","₹
54 Lac"
850 sqft,3,Apartment,Semi-Furnished,"The Emerald, Bhayli Vadodara","₹
27 Lac"
1100 sqft,3,Apartment,Furnished,"Malbar Valley, Tarsali Vadodara","₹
52.5 Lac"
1332 sqft,3,Apartment,Semi-Furnished,Vasna Road Vadodara,"₹
65 Lac"
1030 sqft,3,Apartment,Furnished,"Seasons Prime, Vasna Bhayli Main Road Vadodara","₹
60 Lac"
1300 sqft,3,N/A,Semi-Furnished,New Kareli Baug Vadodara,"₹
35 Lac"
1092 sqft,3,Apartment,Unfurnished,"Pratham Riviera, Atladra Vadodara","₹
35 Lac"
974 sqft,3,Apartment,Semi-Furnished,"Earth Setu Shells, Vasna Bhayli Main Road Vadodara","₹
42 Lac"
5500 sqft,7,Villa,Semi-Furnished,Chikuwadi Vadodara,"₹
4.10 Cr"
860 sqft,4,Apartment,Unfurnished,Gorwa Vadodara,"₹
35 Lac"
1650 sqft,4,House,Semi-Furnished,Samta Vadodara,"₹
1.85 Cr"
1500 sqft,4,House,Unfurnished,"The Gokulesh City, Waghodia Vadodara","₹
50 Lac"
760 sqft,3,Apartment,Semi-Furnished,Sevasi Vadodara,"₹
43 Lac"
500 sqft,1,Apartment,Unfurnished,prarambh complex Vadodara,"₹
17 Lac"
850 sqft,3,Apartment,Unfurnished,"Mangalmurti Vinayak Heights, Waghodia Vadodara","₹
42 Lac"
1080 sqft,3,Apartment,Semi-Furnished,Harni Road Vadodara,"₹
65 Lac"
700 sqft,2,Apartment,Semi-Furnished,Atladra Vadodara,"₹
26 Lac"
888 sqft,3,House,N/A,"Ravi Pranav Bungalows, Waghodia Road Vadodara","₹
40 Lac"
630 sqft,2,Apartment,Unfurnished,"Akshar Vandan, Vasna Bhayli Main Road Vadodara","₹
29 Lac"
790 sqft,2,Apartment,Unfurnished,"Shree Muniji Anand Exotica, Sevasi Vadodara","₹
29.9 Lac"
N/A,3,House,N/A,Akota Vadodara,"₹
76 Lac"
863 sqft,4,Apartment,Unfurnished,Samta Vadodara,"₹
44 Lac"
675 sqft,1,Apartment,Unfurnished,Vemali Vadodara,"₹
19.9 Lac"
940 sqft,2,Apartment,Unfurnished,"Lotus Residency, Sama Vadodara","₹
38.5 Lac"
2000 sqft,3,Apartment,Semi-Furnished,"Shakuntal, Manjalpur Vadodara","₹
70 Lac"
2050 sqft,3,Apartment,Semi-Furnished,"Synnove Palladium, Vasna Bhayli Main Road Vadodara","₹
79 Lac"
2250 sqft,3,Apartment,Unfurnished,"Narayan Aura, Atladra Vadodara","₹
66 Lac"
2600 sqft,5,Villa,Unfurnished,Old Padra Road Vadodara,"₹
1.75 Cr"
980 sqft,3,Apartment,Unfurnished,"Aadhya Auram, Bhayli Vadodara","₹
52 Lac"
625 sqft,2,Apartment,Semi-Furnished,"Siddharth Samanvay I, Chhani Vadodara","₹
35 Lac"
82 sqm,2,Apartment,Semi-Furnished,Samta Vadodara,"₹
25 Lac"
1500 sqft,3,Apartment,Semi-Furnished,Akota Vadodara,"₹
1.25 Cr"
1850 sqft,3,House,Furnished,Ellora Park Vadodara,"₹
1.80 Cr"
1750 sqft,5,House,Furnished,navjeevan Ajwa Road Vadodara,"₹
75 Lac"
750 sqft,2,Apartment,Unfurnished,"Shashwat Green, Gotri Vadodara","₹
45 Lac"
600 sqft,1,Apartment,Semi-Furnished,Ajwa Road Vadodara,"₹
12 Lac"
1081 sqft,3,Apartment,Unfurnished,"Keshav Green, Manjalpur Vadodara","₹
53 Lac"
1100 sqft,3,Apartment,Furnished,Vasna Bhayli Main Road Vadodara,"₹
75 Lac"
1016 sqft,3,Apartment,Unfurnished,"Lilleria 162, Sama Savli Road Vadodara","₹
65 Lac"
1500 sqft,4,House,Unfurnished,Ajwa Road Vadodara,"₹
83 Lac"
720 sqft,2,Apartment,Semi-Furnished,"Orchid Harmony, Vemali Vadodara","₹
33 Lac"
66 sqm,2,Apartment,Semi-Furnished,"Infinium, Chhani Vadodara","₹
33 Lac"
924 sqft,2,Apartment,Semi-Furnished,Vasna Bhayli Main Road Vadodara,"₹
32 Lac"
767 sqft,2,Apartment,Unfurnished,"Shlok Residency, Waghodia Vadodara","₹
29 Lac"
1250 sqft,3,Apartment,Semi-Furnished,"Alembic Samsara Apartment, Chhani Vadodara","₹
75 Lac"
850 sqft,3,House,Unfurnished,"The Krishna City, Kelanpur Vadodara","₹
30 Lac"
770 sqft,2,Apartment,Unfurnished,Subhanpura Vadodara,"₹
34 Lac"
750 sqft,4,Villa,Unfurnished,Bhayli Vadodara,"₹
95 Lac"
900 sqft,2,Apartment,Furnished,Alkapuri Vadodara,"₹
43 Lac"
1600 sqft,3,N/A,Unfurnished,Sun Pharma Road Vadodara,"₹
65 Lac"
1955 sqft,4,Villa,Unfurnished,Bhayli Vadodara,"₹
1.35 Cr"
1450 sqft,4,House,Semi-Furnished,Subhanpura Vadodara,"₹
80 Lac"
1100 sqft,3,House,Unfurnished,"Dwarkeshnagar Society, Chhani Vadodara","₹
67.1 Lac"
1100 sqft,3,Apartment,Furnished,Gotri Vadodara,"₹
75 Lac"
1217 sqft,2,Apartment,Semi-Furnished,"Darshanam Central Park, Sayajigunj Vadodara","₹
45 Lac"
1000 sqft,4,Villa,Unfurnished,Khodiyar Nagar Vadodara,"₹
82.5 Lac"
1800 sqft,4,House,Unfurnished,Subhanpura Vadodara,"₹
60 Lac"
1750 sqft,4,Apartment,Unfurnished,Akota Vadodara,"₹
1.41 Cr"
710 sqft,2,Apartment,Semi-Furnished,"Siddheshwar Heights, Nehru Chacha Nagar Vadodara","₹
27 Lac"
3600 sqft,7,Villa,Furnished,Chhani Vadodara,"₹
1.75 Cr"
1050 sqft,3,Apartment,Unfurnished,Gotri Vadodara,"₹
56 Lac"
750 sqft,2,Apartment,Furnished,"Velani Exotica, Atladra Vadodara","₹
32 Lac"
575 sqft,2,Apartment,Unfurnished,"Akshar Paradise, Atladra Vadodara","₹
26 Lac"
850 sqft,2,Apartment,Semi-Furnished,RV Desai Road Vadodara,"₹
43.5 Lac"
2260 sqft,3,N/A,Furnished,Sama Road Vadodara,"₹
90 Lac"
1362 sqft,3,Apartment,Unfurnished,"Iscon Heights, Gotri Vadodara","₹
85 Lac"
1321 sqft,3,House,Furnished,"Taksh Divine, Waghodia Road Vadodara","₹
95 Lac"
1091 sqft,2,Apartment,Unfurnished,Nr.Darshan Upvan. Vadodara,"₹
32 Lac"
885 sqft,3,Apartment,Semi-Furnished,"V R Imperia, Waghodia Road Vadodara","₹
40 Lac"
1283 sqft,3,House,Semi-Furnished,Waghodia Road Vadodara,"₹
90 Lac"
1100 sqft,3,Apartment,Furnished,"Konark Apartment, Bhayli Vadodara","₹
62 Lac"
1200 sqft,3,Apartment,Furnished,"Vishranti Tulips, Harni Vadodara","₹
65 Lac"
1400 sqft,2,Apartment,Semi-Furnished,"Alembic Veda, TP 13 Vadodara","₹
56 Lac"
1100 sqft,2,Apartment,Semi-Furnished,"NeelKanth Neelkanth Residency, Atladra Vadodara","₹
45 Lac"
834 sqft,2,Apartment,Furnished,vintage 2 Vadodara,"₹
44.5 Lac"
773 sqft,2,Apartment,Furnished,"Pratham Riviera, Atladra Vadodara","₹
34 Lac"
1500 sqft,3,N/A,Semi-Furnished,"Asopalav Club Apartments, Kalali Vadodara","₹
65 Lac"
816 sqft,2,Apartment,Unfurnished,"Shreem Galaxy, Vasna Bhayli Main Road Vadodara","₹
22.5 Lac"
1150 sqft,2,Apartment,Unfurnished,"Nand Residency, Makar Pura Vadodara","₹
23 Lac"
970 sqft,3,House,Unfurnished,Fatehgunj Vadodara,"₹
1.30 Cr"
