Carpet Area,BHK,House Type,Furnishing,Address,Price
1000 sqft,2,N/A,Semi-Furnished,Borsad Chokdi Anand,"₹
26 Lac"
1500 sqft,4,Villa,Semi-Furnished,"Bakrol Rd, Anand Anand","₹
50 Lac"
3000 sqft,3,House,Furnished,Vinukaka Marg Anand,"₹
2 Cr"
615 sqft,1,Apartment,Unfurnished,Grid Crossing Anand,"₹
15 Lac"
1600 sqft,4,House,Semi-Furnished,"Jaitun park society, near 100 feet road Anand","₹
71 Lac"
1500 sqft,4,House,Semi-Furnished,Ganesh Chokdi Anand,"₹
30 Lac"
45 sqyrd,3,Villa,Unfurnished,Popati Nagar Anand,"₹
25 Lac"
2500 sqft,3,House,Semi-Furnished,Sardar Ganj Anand,"₹
1.50 Cr"
1550 sqft,3,Villa,Unfurnished,Bakrol Anand,"₹
84.5 Lac"
700 sqft,3,House,Semi-Furnished,Aaksh Town -1 Anand,"₹
38.5 Lac"
2000 sqft,4,House,Furnished,Vallabh Vidyanagar Anand,"₹
1 Cr"
1298 sqft,2,House,Unfurnished,Mogri Anand,"₹
40 Lac"
1300 sqft,3,House,Unfurnished,Akshar Farm Road Anand,"₹
65 Lac"
1650 sqft,3,Villa,Unfurnished,Akshar Farm Road Anand,"₹
55 Lac"
1320 sqft,3,House,Unfurnished,Anand,"₹
68 Lac"
1600 sqft,4,House,Furnished,Lambhvel Anand,"₹
85 Lac"
800 sqft,2,House,Furnished,Hadgood Anand,"₹
25 Lac"
900 sqft,5,House,Semi-Furnished,Umreth Anand,"₹
50 Lac"
1450 sqft,3,House,Furnished,Lambhvel Road Vishwakarma Society Anand,"₹
37 Lac"
990 sqft,3,House,Semi-Furnished,Mogri Anand,"₹
39 Lac"
110 sqyrd,2,N/A,Unfurnished,Chikodra Road Anand,"₹
28 Lac"
700 sqft,2,Apartment,Unfurnished,Popati Nagar Anand,"₹
36 Lac"
1450 sqft,3,House,Semi-Furnished,Lambhvel Road Vishwakarma Society Anand,"₹
41.5 Lac"
650 sqft,2,Villa,Semi-Furnished,24 Anand,"₹
15.5 Lac"
1200 sqft,3,House,Unfurnished,Jitodiya Road Anand,"₹
51 Lac"
1500 sqft,3,House,Unfurnished,Jitodia Anand,"₹
45 Lac"
1212 sqft,4,House,Unfurnished,Ganesh Chokdi Anand,"₹
80 Lac"
1000 sqft,1,House,Furnished,"Zulelal society ,Anand Anand","₹
20 Lac"
1575 sqft,3,Villa,Unfurnished,Vallabh Vidyanagar Anand,"₹
37 Lac"
1200 sqft,3,Apartment,Unfurnished,"Sukirtan Aura, Karamsad Road Anand","₹
25 Lac"
1800 sqft,4,House,Furnished,Karamsad Anand,"₹
85 Lac"
1100 sqft,3,Villa,Unfurnished,sai residency Anand,"₹
28 Lac"
900 sqft,2,House,Unfurnished,V V Nagar Anand,"₹
13 Lac"
1070 sqft,4,House,Unfurnished,Mogri Anand,"₹
60 Lac"
1400 sqft,3,Apartment,Furnished,"HR Prime, Anand Vidyanagar Road Anand","₹
42 Lac"
1650 sqft,4,House,Unfurnished,Anand Vidyanagar Road Anand,"₹
80 Lac"
1850 sqft,3,House,Semi-Furnished,Lambhvel Anand,"₹
45 Lac"
1060 sqft,3,House,Unfurnished,3Bhk House Anand,"₹
35 Lac"
1400 sqft,3,Apartment,Unfurnished,Vallabh Vidyanagar Anand,"₹
40 Lac"
1325 sqft,3,Apartment,Unfurnished,Vallabh Vidyanagar Anand,"₹
55 Lac"
1760 sqft,3,House,Unfurnished,"Anand Villa, Anand Vidyanagar Road Anand","₹
70 Lac"
1089 sqft,4,House,Furnished,Jogni Mata Road Anand,"₹
86 Lac"
1500 sqft,4,House,Unfurnished,sai bhoomi Anand,"₹
78 Lac"
2000 sqft,3,House,Semi-Furnished,Mogri Anand,"₹
60 Lac"
1200 sqft,3,House,Semi-Furnished,Lambhvel Road Vishwakarma Society Anand,"₹
28 Lac"
1350 sqft,3,House,Unfurnished,Karamsad Anand,"₹
55 Lac"
800 sqft,2,N/A,Semi-Furnished,Vallabh Vidyanagar Anand,"₹
26 Lac"
1400 sqft,3,Apartment,Unfurnished,"Elegance 1, Karamsad Anand","₹
42 Lac"
980 sqft,2,N/A,Semi-Furnished,Anand Sojitra Road Anand,"₹
34 Lac"
1850 sqft,4,N/A,Furnished,Vallabh Vidyanagar Anand,"₹
63 Lac"
636 sqft,2,House,Unfurnished,Vallabh Vidyanagar Anand,"₹
25 Lac"
136 sqm,3,House,Unfurnished,Bhalej Road Anand,"₹
80 Lac"
1450 sqft,3,House,Unfurnished,kirtan bungalow Anand,"₹
44 Lac"
900 sqft,4,Villa,Unfurnished,Tulip Villa Anand,"₹
55 Lac"
1400 sqft,3,Apartment,Unfurnished,Giriraj Status Appartment Anand,"₹
26 Lac"
115 sqft,3,House,Furnished,Ganesh Chokdi Anand,"₹
35 Lac"
1020 sqft,2,Apartment,Semi-Furnished,Vallabh Vidyanagar Anand,"₹
16.5 Lac"
1500 sqft,3,House,Furnished,Anand Vidyanagar Road Anand,"₹
1.50 Cr"
600 sqft,2,Apartment,Unfurnished,Chikodra Road Anand,"₹
16.5 Lac"
130 sqm,3,House,Unfurnished,Vallabh Vidyanagar Anand,"₹
60 Lac"
800 sqft,2,Apartment,Furnished,Vallabh Vidyanagar Anand,"₹
27 Lac"
750 sqft,2,Apartment,Semi-Furnished,Bavis Gam Vidhyalaya Anand,"₹
22 Lac"
840 sqft,2,Apartment,Furnished,Grid Crossing Anand,"₹
34 Lac"
830 sqft,2,House,Furnished,Raghuvir vatika society Anand,"₹
41 Lac"
280 sqm,4,House,Furnished,80 Feet Road Anand,"₹
2.40 Cr"
1750 sqft,4,House,Unfurnished,Vallabh Vidyanagar Anand,"₹
70 Lac"
2400 sqft,3,Villa,Semi-Furnished,Anand Vaghasi Road Anand,"₹
70 Lac"
1250 sqft,3,House,Semi-Furnished,Jitodiya Road Anand,"₹
48 Lac"
1260 sqft,3,House,Semi-Furnished,Vallabh Vidyanagar Anand,"₹
77 Lac"
2000 sqft,4,House,Semi-Furnished,Anand Vidyanagar Road Anand,"₹
1.11 Cr"
800 sqft,2,Apartment,Semi-Furnished,Sardar Ganj Anand,"₹
21 Lac"
1750 sqft,3,House,Unfurnished,Bhalej Road Anand,"₹
90 Lac"
500 sqft,2,House,N/A,Petlad Karamsad Road Anand,"₹
12.5 Lac"
950 sqft,2,Apartment,Unfurnished,Ganesh Colony Anand,"₹
25 Lac"
1600 sqft,4,House,Semi-Furnished,Bakrol Anand,"₹
53 Lac"
1800 sqft,3,House,Furnished,Vidyanagar Anand,Call for Price
1250 sqft,2,Apartment,N/A,green avenue Anand,Call for Price
"10,000 sqft",2,Farm House,N/A,Agriculture land Anand,Call for Price
48 sqft,1,Apartment,N/A,Avkar Appertment.irma road Anand,Call for Price
1500 sqft,3,House,Semi-Furnished,Vasad Anand,Call for Price
1100 sqft,4,House,N/A,Anand Vidyanagar Road Anand,Call for Price
1500 sqft,3,House,Semi-Furnished,B/h uma Bhavan Anand,"₹
70 Lac"
550 sqft,1,House,Unfurnished,Bakrol Road Vallabh Vidyanagar Anand,"₹
30.5 Lac"
1100 sqft,3,House,Unfurnished,Jitodiya Road Anand,"₹
48 Lac"
2100 sqft,3,House,Semi-Furnished,Bakrol Anand,"₹
1.25 Cr"
1360 sqft,4,House,Semi-Furnished,143 Anand,"₹
85 Lac"
1450 sqft,3,Apartment,Unfurnished,Vallabh Vidyanagar Anand,"₹
40 Lac"
1600 sqft,3,Apartment,Unfurnished,Vallabh Vidyanagar Anand,"₹
40 Lac"
1750 sqft,4,House,Unfurnished,Akshar Farm Road Anand,"₹
1.35 Cr"
1300 sqft,2,House,Unfurnished,Pradhan's park Anand,"₹
38 Lac"
1600 sqft,3,House,Unfurnished,Karamsad Road Anand,"₹
38 Lac"
1760 sqft,3,House,Unfurnished,Vinukaka Marg Anand,"₹
63 Lac"
2100 sqft,3,House,Furnished,80 Feet Road Anand,"₹
1.80 Cr"
2550 sqft,4,House,Unfurnished,sardarnagar co op HSG society Anand,"₹
90 Lac"
1450 sqft,2,Apartment,Unfurnished,"Anandita Luxurious Apartment, Mota Bazaar Anand","₹
37.5 Lac"
1250 sqft,3,House,Unfurnished,Jogni Mata Road Anand,"₹
73.5 Lac"
1500 sqft,3,House,Furnished,Mota Bazar Anand,"₹
45 Lac"
1450 sqft,3,House,Unfurnished,Karamsad Anand,"₹
48.5 Lac"
